Neighbours,RecommendedArtists,MAP,MAR,FSCORE
3,10,2.83,3.33,3.06
3,20,2.19,5.02,3.05
3,30,1.89,6.49,2.93
5,10,3.26,3.76,3.49
5,20,2.55,5.83,3.55
5,30,2.15,7.36,3.32
10,10,4.15,4.79,4.45
10,20,3.34,7.58,4.64
10,30,2.88,9.74,4.44
