K	Artists	Prec	Rec	el. Time
10	1	2.13	0.05	302.55
10	2	2.08	0.08	297.82
10	3	2.13	0.13	302.07
10	5	2.08	0.19	295.38
10	8	2.10	0.32	298.21
10	13	2.13	0.40	297.19
10	21	2.13	0.40	295.14
10	34	2.13	0.40	295.78
10	55	2.13	0.40	302.52
10	89	2.13	0.40	295.85
10	144	2.13	0.40	547.95
