K	Artists	Prec	Rec	el. Time
10	1	0.56	0.01	172.74
10	2	0.68	0.02	174.03
10	3	0.56	0.03	173.80
10	5	0.57	0.05	174.33
10	8	0.60	0.08	173.44
10	13	0.62	0.15	175.98
10	21	0.60	0.19	174.81
10	34	0.62	0.33	174.41
10	55	0.64	0.55	173.43
10	89	0.63	0.88	168.40
10	144	0.63	1.51	167.94
