K	Artists	Prec	Rec	el. Time
10	1	9.80	0.23	5447.40
10	2	12.26	0.60	5326.51
10	3	12.03	0.86	5897.45
10	5	11.01	1.40	5865.73
10	8	10.57	2.11	5594.28
10	13	9.69	3.06	5826.76
10	21	8.97	4.52	5845.39
10	34	8.07	6.44	5551.95
10	55	7.14	9.04	5654.20
10	89	6.21	12.24	5386.70
10	144	5.25	16.15	5667.84
