K	Artists	Prec	Rec	el. Time
10	1	0.60	0.01	2388.60
10	2	1.07	0.04	2425.30
10	3	0.88	0.04	2392.14
10	5	0.71	0.06	2396.62
10	8	0.69	0.11	2388.85
10	13	2.17	0.51	2412.24
10	21	3.15	1.11	2423.54
10	34	3.77	2.07	2413.56
10	55	4.04	3.49	2443.35
10	89	4.02	5.48	2668.13
10	144	3.74	8.36	2692.55
