K	Artists	Prec	Rec	el. Time
10	1	0.60	0.01	3868.23
10	2	1.08	0.04	5894.19
10	3	0.90	0.05	5378.21
10	5	0.74	0.07	5495.58
10	8	0.72	0.13	5384.14
10	13	5.52	1.47	5463.24
10	21	8.98	3.80	5393.52
10	34	9.76	6.70	5497.26
10	55	9.34	10.27	5418.57
10	89	8.23	14.46	5584.87
10	144	6.96	19.75	4825.40
