K	Artists	Prec	Rec	el. Time
10	1	2.53	0.07	2362.93
10	2	4.07	0.16	2353.82
10	3	3.06	0.20	2407.28
10	5	3.26	0.35	2387.98
10	8	3.58	0.64	2417.56
10	13	3.40	0.90	2390.32
10	21	3.07	1.26	2366.14
10	34	3.19	2.08	2355.02
10	55	3.11	3.22	2358.00
10	89	3.05	5.03	2712.35
10	144	2.95	7.66	2712.44
