K	Artists	Prec	Rec	el. Time
10	1	22.40	0.56	2279.92
10	2	21.68	1.08	2348.30
10	3	20.90	1.56	2278.24
10	5	19.79	2.47	2779.19
10	8	18.31	3.55	3618.82
10	13	16.47	5.18	2102.99
10	21	14.59	7.23	2247.23
10	34	12.77	9.94	3125.74
10	55	10.93	13.28	3663.26
10	89	9.06	17.24	3370.67
10	144	7.38	21.94	2334.96
