10	10	5.46	1.07	1.79	306.37
10	15	5.59	1.64	2.54	300.76
10	20	5.57	2.14	3.09	303.52
10	25	5.50	2.62	3.55	308.55
10	30	5.41	3.06	3.91	308.44
10	35	5.36	3.50	4.23	308.23
10	40	5.42	4.04	4.63	304.04
