K	Artists	Prec	Rec	el. Time
10	1	13.69	0.30	1968.97
10	2	15.30	0.73	2282.66
10	3	14.72	1.03	2972.55
10	5	14.08	1.67	2396.24
10	8	13.55	2.53	2226.97
10	13	12.45	3.66	2322.59
10	21	11.60	5.49	2918.77
10	34	10.43	7.84	2087.95
10	55	9.29	11.07	2656.59
10	89	8.11	15.11	3392.60
10	144	6.84	19.94	2225.24
