K	Artists	Prec	Rec	el. Time
10	1	6.67	0.13	247.94
10	2	6.82	0.29	248.67
10	3	6.75	0.47	245.82
10	5	6.76	0.72	246.14
10	8	5.66	0.90	244.49
10	13	5.83	1.50	250.43
10	21	5.47	2.20	246.23
10	34	5.37	3.40	249.33
10	55	5.26	5.35	248.59
10	89	5.09	8.17	244.80
10	144	4.62	11.81	240.85
