K	Artists	Prec	Rec	el. Time
10	1	0.60	0.01	4122.58
10	2	1.08	0.04	5631.18
10	3	0.90	0.05	5880.53
10	5	0.74	0.07	5541.99
10	8	0.73	0.13	5445.86
10	13	5.50	1.47	5890.54
10	21	8.97	3.80	5615.00
10	34	9.76	6.72	5882.20
10	55	9.34	10.28	5466.95
10	89	8.22	14.47	5529.30
10	144	6.99	19.81	5862.73
