K	Artists	Prec	Rec	el. Time
10	1	22.22	0.54	1556.88
10	2	21.50	1.05	4120.57
10	3	20.41	1.50	4055.59
10	5	19.13	2.35	2481.09
10	8	17.65	3.38	2287.94
10	13	15.87	4.83	2168.52
10	21	14.07	6.82	3035.04
10	34	12.35	9.45	2130.86
10	55	10.58	12.71	2675.18
10	89	8.87	16.69	3555.50
10	144	7.30	21.49	1923.07
