K	Artists	Prec	Rec	el. Time
10	1	0.60	0.01	2617.80
10	2	1.07	0.04	2627.42
10	3	0.88	0.04	2320.99
10	5	0.71	0.06	2270.77
10	8	0.67	0.10	2290.26
10	13	0.75	0.16	2288.20
10	21	0.73	0.26	2296.69
10	34	0.72	0.41	2284.29
10	55	0.70	0.64	2278.39
10	89	0.71	1.08	2302.63
10	144	0.72	1.76	2290.80
