K	Artists	Prec	Rec	el. Time
10	1	0.60	0.01	5869.72
10	2	1.08	0.04	5667.90
10	3	0.90	0.05	5569.01
10	5	0.74	0.07	5925.62
10	8	0.72	0.13	5712.06
10	13	5.50	1.48	6078.24
10	21	8.94	3.79	5543.98
10	34	9.70	6.64	5719.39
10	55	9.33	10.23	5618.95
10	89	8.23	14.47	5632.46
10	144	7.00	19.81	5646.31
